personnel_id,name,department,rank,latitude,longitude,status,home_station
1,John Smith,Fire Department,Captain,-33.8688,151.2093,available,Sydney CBD Station
2,Mary Johnson,Fire Department,Lieutenant,-33.8688,151.2093,available,Sydney CBD Station
3,David Brown,Fire Department,Firefighter,-33.8688,151.2093,available,Sydney CBD Station
4,Sarah Wilson,Fire Department,Firefighter,-33.8688,151.2093,available,Sydney CBD Station
5,Michael Davis,Fire Department,Engineer,-33.8688,151.2093,available,Sydney CBD Station
6,Jennifer Miller,Fire Department,Captain,-33.8986,151.1767,available,Surry Hills Station
7,Robert Garcia,Fire Department,Lieutenant,-33.8986,151.1767,available,Surry Hills Station
8,Lisa Rodriguez,Fire Department,Firefighter,-33.8986,151.1767,available,Surry Hills Station
9,William Martinez,Fire Department,Firefighter,-33.8986,151.1767,available,Surry Hills Station
10,Emma Anderson,Fire Department,Engineer,-33.8986,151.1767,available,Surry Hills Station
11,Thomas Taylor,Fire Department,Captain,-33.8564,151.2142,available,Circular Quay Station
12,Olivia Thomas,Fire Department,Lieutenant,-33.8564,151.2142,available,Circular Quay Station
13,Christopher Jackson,Fire Department,Firefighter,-33.8564,151.2142,available,Circular Quay Station
14,Sophia White,Fire Department,Firefighter,-33.8564,151.2142,available,Circular Quay Station
15,Daniel Harris,Fire Department,Engineer,-33.8564,151.2142,available,Circular Quay Station
16,Isabella Martin,Fire Department,Captain,-33.8405,151.2358,available,Kings Cross Station
17,Matthew Thompson,Fire Department,Lieutenant,-33.8405,151.2358,available,Kings Cross Station
18,Ava Garcia,Fire Department,Firefighter,-33.8405,151.2358,available,Kings Cross Station
19,Anthony Rodriguez,Fire Department,Firefighter,-33.8405,151.2358,available,Kings Cross Station
20,Mia Lewis,Fire Department,Engineer,-33.8405,151.2358,available,Kings Cross Station
21,Mark Lee,Fire Department,Captain,-33.9037,151.2194,available,Redfern Station
22,Charlotte Walker,Fire Department,Lieutenant,-33.9037,151.2194,available,Redfern Station
23,Joseph Hall,Fire Department,Firefighter,-33.9037,151.2194,available,Redfern Station
24,Amelia Allen,Fire Department,Firefighter,-33.9037,151.2194,available,Redfern Station
25,Ryan Young,Fire Department,Engineer,-33.9037,151.2194,available,Redfern Station
26,Harper Hernandez,Fire Department,Captain,-33.8799,151.2090,available,Darlinghurst Station
27,Nicholas King,Fire Department,Lieutenant,-33.8799,151.2090,available,Darlinghurst Station
28,Evelyn Wright,Fire Department,Firefighter,-33.8799,151.2090,available,Darlinghurst Station
29,Jacob Lopez,Fire Department,Firefighter,-33.8799,151.2090,available,Darlinghurst Station
30,Abigail Hill,Fire Department,Engineer,-33.8799,151.2090,available,Darlinghurst Station
31,Alexander Scott,Police,Sergeant,-33.8688,151.2093,available,Sydney Police Centre
32,Emily Green,Police,Constable,-33.8688,151.2093,available,Sydney Police Centre
33,Ethan Adams,Police,Senior Constable,-33.8688,151.2093,available,Sydney Police Centre
34,Madison Baker,Police,Constable,-33.8688,151.2093,available,Sydney Police Centre
35,Mason Gonzalez,Police,Detective,-33.8688,151.2093,available,Sydney Police Centre
36,Elizabeth Nelson,Police,Sergeant,-33.8986,151.1767,available,Surry Hills Police
37,Logan Carter,Police,Constable,-33.8986,151.1767,available,Surry Hills Police
38,Avery Mitchell,Police,Senior Constable,-33.8986,151.1767,available,Surry Hills Police
39,Lucas Perez,Police,Constable,-33.8986,151.1767,available,Surry Hills Police
40,Ella Roberts,Police,Detective,-33.8986,151.1767,available,Surry Hills Police
41,Jackson Turner,Police,Sergeant,-33.8564,151.2142,available,Circular Quay Police
42,Scarlett Phillips,Police,Constable,-33.8564,151.2142,available,Circular Quay Police
43,Aiden Campbell,Police,Senior Constable,-33.8564,151.2142,available,Circular Quay Police
44,Victoria Parker,Police,Constable,-33.8564,151.2142,available,Circular Quay Police
45,Hunter Evans,Police,Detective,-33.8564,151.2142,available,Circular Quay Police
46,Grace Edwards,Police,Sergeant,-33.8405,151.2358,available,Kings Cross Police
47,Connor Collins,Police,Constable,-33.8405,151.2358,available,Kings Cross Police
48,Chloe Stewart,Police,Senior Constable,-33.8405,151.2358,available,Kings Cross Police
49,Isaac Sanchez,Police,Constable,-33.8405,151.2358,available,Kings Cross Police
